model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,precision_at_k,20.0,0.024652777777777777,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,recall_at_k,20.0,0.08182864302284187,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,coverage,20.0,0.1676190476190476,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,mean_popularity,20.0,169.2279513888889,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,popularity_percentile,20.0,0.9031609208080381,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.01,n_factors=8,regularisation=0.05",val,gini,20.0,0.9623890358612581,864,0,20260903,20260922T171255,1790077521
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,rmse,,0.9673143941733725,943,9988,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,mae,,0.7654994357712464,943,9988,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,precision_at_k,5.0,0.02592592592592593,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,recall_at_k,5.0,0.018761015901177246,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,coverage,5.0,0.04,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,mean_popularity,5.0,180.99814814814815,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,popularity_percentile,5.0,0.9212637947668126,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,gini,5.0,0.9925496766607877,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,precision_at_k,10.0,0.02800925925925926,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,recall_at_k,10.0,0.04831596953119982,864,0,20260903,20260922T171255,1790077564
